target,params
0.8678935860058309,"{'max_depth': 9.97355480469017, 'min_samples_leaf': 2.4622557510220306, 'min_samples_split': 7.261734445025484}"
0.8658892128279884,"{'max_depth': 17.37899659847266, 'min_samples_leaf': 9.64597712597444, 'min_samples_split': 5.980667241284629}"
0.8713556851311953,"{'max_depth': 11.15814905553074, 'min_samples_leaf': 2.8868051954308163, 'min_samples_split': 15.257811544203605}"
0.8715379008746356,"{'max_depth': 7.453026195258142, 'min_samples_leaf': 1.6465070498016883, 'min_samples_split': 2.8378397660742927}"
0.8633381924198251,"{'max_depth': 5.098456839089579, 'min_samples_leaf': 4.788141480590805, 'min_samples_split': 12.6964592764707}"
0.8626093294460642,"{'max_depth': 3.741115684707488, 'min_samples_leaf': 3.6041949898396215, 'min_samples_split': 11.580030361027386}"
0.8686224489795918,"{'max_depth': 14.721328740024965, 'min_samples_leaf': 2.021176828307217, 'min_samples_split': 17.33327698715673}"
0.8626093294460642,"{'max_depth': 3.5623190308942685, 'min_samples_leaf': 1.0, 'min_samples_split': 2.0}"
0.8680758017492711,"{'max_depth': 9.585075760949431, 'min_samples_leaf': 2.148021781704799, 'min_samples_split': 2.9358234756899875}"
0.8668002915451894,"{'max_depth': 12.738501010333843, 'min_samples_leaf': 1.773217126315729, 'min_samples_split': 14.406007497131645}"
0.8711734693877551,"{'max_depth': 11.308763026669897, 'min_samples_leaf': 3.1174076713781353, 'min_samples_split': 16.87912925873541}"
0.8658892128279884,"{'max_depth': 10.576961539938567, 'min_samples_leaf': 4.934329574499425, 'min_samples_split': 15.694615484967581}"
0.8651603498542274,"{'max_depth': 10.50185810555419, 'min_samples_leaf': 1.8604787905486966, 'min_samples_split': 16.749222591772494}"
0.8664358600583091,"{'max_depth': 12.150300775573792, 'min_samples_leaf': 3.4637604991213076, 'min_samples_split': 16.146215678225886}"
0.8420189504373178,"{'max_depth': 1.2622539010120424, 'min_samples_leaf': 8.324446237861668, 'min_samples_split': 10.782920550248491}"
