target,params
0.7611151603498543,"{'C': 0.24452694943978237, 'gamma': 0.3678958327196456}"
0.7866253644314869,"{'C': 4.956639788148321, 'gamma': 0.7201612751604004}"
0.7884475218658892,"{'C': 6.411774892591529, 'gamma': 0.41659612194657253}"
0.7578352769679301,"{'C': 9.828054759650433, 'gamma': 0.08109331043855357}"
0.7569241982507289,"{'C': 1.2560990854851337, 'gamma': 0.018407739257232963}"
0.7569241982507289,"{'C': 5.50968016596506, 'gamma': 0.0001}"
0.7882653061224489,"{'C': 6.411668395412045, 'gamma': 0.40818189343956873}"
0.7866253644314869,"{'C': 6.9309038045878175, 'gamma': 0.6409133804611507}"
0.7866253644314869,"{'C': 4.210877951103356, 'gamma': 1.0}"
0.7866253644314869,"{'C': 5.866411770840398, 'gamma': 1.0}"
0.7569241982507289,"{'C': 3.5141987929537706, 'gamma': 0.0001}"
0.7869897959183674,"{'C': 8.152743141829196, 'gamma': 1.0}"
0.7569241982507289,"{'C': 7.942298230277042, 'gamma': 0.0001}"
0.7869897959183674,"{'C': 8.913969634626302, 'gamma': 1.0}"
0.7868075801749271,"{'C': 6.557514647087163, 'gamma': 1.0}"
0.7866253644314869,"{'C': 2.5116321593291224, 'gamma': 1.0}"
0.7866253644314869,"{'C': 3.258367833446246, 'gamma': 1.0}"
0.7866253644314869,"{'C': 1.7420813325424696, 'gamma': 1.0}"
0.7869897959183674,"{'C': 7.4665698807353245, 'gamma': 1.0}"
0.7866253644314869,"{'C': 4.983298690928287, 'gamma': 0.9989594847865868}"
0.7869897959183674,"{'C': 9.855955592376326, 'gamma': 0.9974444656274494}"
0.7755102040816326,"{'C': 2.301556044619482, 'gamma': 0.391187656662138}"
0.7869897959183674,"{'C': 9.404130587860791, 'gamma': 1.0}"
0.7848032069970845,"{'C': 1.0668768264054784, 'gamma': 1.0}"
0.7844387755102041,"{'C': 4.473489851909602, 'gamma': 0.5670649784568383}"
0.7866253644314869,"{'C': 3.7457084412564985, 'gamma': 0.9784718559468658}"
0.7866253644314869,"{'C': 6.168999218231011, 'gamma': 0.7161378849440735}"
0.7866253644314869,"{'C': 5.422082654236205, 'gamma': 1.0}"
0.7868075801749271,"{'C': 7.027103146772844, 'gamma': 1.0}"
0.7862609329446064,"{'C': 6.576682642260659, 'gamma': 0.6183552767009275}"
0.7858965014577259,"{'C': 8.820134759300807, 'gamma': 0.5375784398597931}"
0.7569241982507289,"{'C': 6.978966391771802, 'gamma': 0.011579932035235009}"
0.7716836734693877,"{'C': 0.10084866412940584, 'gamma': 0.9918126864802779}"
0.7866253644314869,"{'C': 8.506415789178167, 'gamma': 0.7960389441094788}"
0.7866253644314869,"{'C': 2.128111213515829, 'gamma': 1.0}"
0.7866253644314869,"{'C': 4.584151191967407, 'gamma': 0.9858569142538838}"
0.7569241982507289,"{'C': 8.869070243475099, 'gamma': 0.0001}"
0.7866253644314869,"{'C': 9.172300309785147, 'gamma': 0.7039571102393783}"
0.7866253644314869,"{'C': 7.8030753156013315, 'gamma': 0.7656777351331829}"
0.7866253644314869,"{'C': 7.32758012132348, 'gamma': 0.7143025111540462}"
0.7866253644314869,"{'C': 2.8912972591303974, 'gamma': 1.0}"
0.7862609329446064,"{'C': 1.3932488612576532, 'gamma': 0.9990158580723809}"
0.7869897959183674,"{'C': 7.817802621894413, 'gamma': 1.0}"
0.7866253644314869,"{'C': 8.856599684974656, 'gamma': 0.7679491717529152}"
0.7866253644314869,"{'C': 6.227519434680795, 'gamma': 0.9960289900084187}"
0.7846209912536443,"{'C': 2.888619107342637, 'gamma': 0.6829929670666934}"
0.7862609329446064,"{'C': 4.007255474913122, 'gamma': 0.7186218367598846}"
0.7884475218658892,"{'C': 6.210178275968336, 'gamma': 0.4473176441575925}"
0.7869897959183674,"{'C': 10.0, 'gamma': 1.0}"
0.7866253644314869,"{'C': 8.187929699732612, 'gamma': 0.6986910234616325}"
0.7862609329446064,"{'C': 3.5012639556674148, 'gamma': 0.7488795971289759}"
0.7869897959183674,"{'C': 9.170314637997153, 'gamma': 0.9966930019464385}"
0.7842565597667639,"{'C': 6.327975600824811, 'gamma': 0.5527082352680874}"
0.7884475218658892,"{'C': 6.558460207624996, 'gamma': 0.43490974081866285}"
0.7860787172011662,"{'C': 5.788881439677258, 'gamma': 0.6126280042134418}"
